,,,,12 Team,,,14 Team,10 Team,,AAV,Health Report,,
Rank,Name,Team,Pos,Fantrax,MFL,NFFC,MFL,MFL,NFFC,MFL,Status,Injury,fp_PPR
1,Christian McCaffrey,CAR,RB,1.06,-,1.04,-,-,1.25,$35.58 ,IR,Ankle,127.5
2,Dalvin Cook,MIN,RB,2.25,-,2.17,-,-,2.26,$27.97 ,,,206.3
3,Alvin Kamara,NO,RB,3.47,-,3.35,3.2,-,3.24,$31.45 ,,,234.7
4,Derrick Henry,TEN,RB,4,-,4.6,-,-,4.56,$24.68 ,,,193.3
5,Ezekiel Elliott,DAL,RB,5.88,-,6.33,-,-,6.39,$26.83 ,Ques,Knee - PCL,252.06
6,Jonathan Taylor,IND,RB,8.7,-,7.98,-,-,8.95,$18.70 ,,,373.1
7,Travis Kelce,KC,TE,9.53,-,8.6,-,-262.8,7.32,$24.14 ,,,262.8
8,Davante Adams,GB,WR,8.14,-,8.9,-,-,8.09,$25.01 ,,,344.3
9,Tyreek Hill,KC,WR,11.67,-,9.85,-,-,9.17,$21.45 ,,,296.5
10,Austin Ekeler,LAC,RB,11.07,-,10.22,-,2.6,11.03,$21.13 ,,,343.8
11,Saquon Barkley,NYG,RB,10.38,-,11.59,-,25.4,12.52,$30.96 ,,,148.6
12,Aaron Jones,GB,RB,10.25,-,11.75,-,4.8,11.96,$24.31 ,,,229
13,Nick Chubb,CLE,RB,10.13,-,13.07,-,10.4,13.2,$23.53 ,,,215.3
14,Stefon Diggs,BUF,WR,14.14,-,13.52,-,-,13.2,$16.72 ,,,285.5
15,Antonio Gibson,WAS,RB,17.27,-,15.43,19.6,-,15.46,$12.74 ,,,229.1
16,Najee Harris,PIT,RB,16.36,-,16.31,-,-,15.35,$23.24 ,,,300.7
17,DeAndre Hopkins,ARI,WR,17.49,-,17.49,13.4,15.6,17.64,$25.60 ,IR,Knee - MCL,147.42
18,Calvin Ridley,ATL,WR,19.09,-,17.89,-,-,17.24,$15.32 ,NFI-R,Personal,0
19,Joe Mixon,CIN,RB,20,-,19.94,25,-,21.42,$21.37 ,,,287.9
20,DK Metcalf,SEA,WR,20.17,-,20.12,18.6,-,19.32,$15.63 ,,,244.3
21,Clyde Edwards-Helaire,KC,RB,22.78,-,22.33,-,-,25.36,$19.58 ,,,117.6
22,Darren Waller,LV,TE,23.54,-,22.77,23.4,17.4,21.39,$10.87 ,,,133.5
23,Justin Jefferson,MIN,WR,24.77,-,23,24.4,-,22.17,$11.82 ,,,330.4
24,A.J. Brown,TEN,WR,26.06,-,24.76,-,-,24.87,$19.08 ,,,180.9
25,Patrick Mahomes,KC,QB,20.35,-,26.89,-,11.6,26.42,$20.40 ,,,361.66
26,Keenan Allen,LAC,WR,28.19,-,28.29,-,-,27.25,$20.05 ,,,257.8
27,Terry McLaurin,WAS,WR,32.15,-,29.54,-,-,28.15,$12.73 ,,,213.5
28,George Kittle,SF,TE,27.17,-,30.43,-,-,30.99,$10.44 ,,,198
29,D'Andre Swift,DET,RB,32.91,-,31.29,45.8,-,34.62,$7.21 ,,,208.9
30,Allen Robinson,CHI,WR,31.27,-,31.32,-,45.6,30.7,$12.53 ,,,87
31,CeeDee Lamb,DAL,WR,33.73,-,31.4,-,32.4,29.55,$8.24 ,,,232.8
32,David Montgomery,CHI,RB,29.86,-,33.27,23.8,-,35.7,$9.44 ,,,195
33,Robert Woods,LAR,WR,39.26,-,36.94,38.8,-,35.37,$10.91 ,IR,Knee - ACL,137.2
34,Josh Allen,BUF,QB,33.58,-,37.72,-,24.2,36.37,$16.44 ,,,402.58
35,Chris Carson,SEA,RB,33.55,-,38.21,27.2,-,40.65,$16.20 ,IR,Neck,48.1
36,Mike Evans,TB,WR,38.45,-,38.99,-,-,38.8,$17.03 ,,,262.5
37,Amari Cooper,DAL,WR,42.49,17.6,39.14,27.4,-,35.72,$12.94 ,,,202.5
38,Miles Sanders,PHI,RB,40.38,-,40.22,34.2,-,45.12,$8.58 ,,,117.2
39,Chris Godwin,TB,WR,42.53,-,41.17,32.2,28.2,39.78,$10.90 ,IR,Knee - ACL + MCL,242.4
40,Josh Jacobs,LV,RB,36.53,32.6,44.8,-,-,50.89,$10.00 ,,,226
41,Cooper Kupp,LAR,WR,44.66,-,45.8,44.6,-,43.61,$10.03 ,,,439.5
42,Kyler Murray,ARI,QB,44.03,21.4,46.15,-,-,49.22,$10.25 ,,,300.48
43,Diontae Johnson,PIT,WR,52.17,-,46.39,-,-,42.61,$5.54 ,,,274.4
44,Julio Jones,TEN,WR,45.56,41.4,47.61,50.4,-,46.97,$16.03 ,,,80.4
45,DJ Moore,CAR,WR,50.02,-,47.93,-,-,47.34,$5.83 ,,,237.5
46,Tyler Lockett,SEA,WR,49.95,-,48.76,45,-,49.01,$12.07 ,,,241.4
47,James Robinson,JAX,RB,39.23,-,50.14,-,-,53.67,$14.29 ,IR,Achilles,173.9
48,Adam Thielen,MIN,WR,49.6,-,50.82,34.6,-,49.4,$8.69 ,IR,Ankle,199.8
49,Lamar Jackson,BAL,QB,51.07,-,52.71,-,-,55.44,$9.27 ,Ques,Ankle,239.98
50,Javonte Williams,DEN,RB,58.59,-,53.2,-,-,50.3,$9.70 ,,,204.9
51,Kyle Pitts,ATL,TE,56.91,-,53.78,55.8,-,43.9,$8.91 ,,,
52,Tee Higgins,CIN,WR,61.52,-,54.45,71.4,62,55.24,$4.89 ,,,219.1
53,Dak Prescott,DAL,QB,60.7,7.8,56.45,-,-,56.87,$9.44 ,,,320.56
54,Brandon Aiyuk,SF,WR,60.19,-,57.74,-,-,56.29,$6.25 ,,,170.3
55,Kareem Hunt,CLE,RB,56.22,-,59.37,40.4,-,64.93,$7.97 ,Ques,Ankle,110
56,Myles Gaskin,MIA,RB,48.57,-,60.85,41.8,-,58.52,$14.61 ,,,173.6
57,Mike Davis,ATL,RB,50.95,-,61.19,-,-,60.07,$10.26 ,Ques,Ribs,138.2
58,Ja'Marr Chase,CIN,WR,58.03,-,61.48,54.8,-,58.07,$7.31 ,,,304.6
59,T.J. Hockenson,DET,TE,63.68,-,63.17,60.6,-,58.52,$5.25 ,IR,Thumb,
60,Mark Andrews,BAL,TE,56.93,-,63.31,64.6,34.8,58.88,$4.68 ,,,
61,Chase Claypool,PIT,WR,68.23,-,64.87,70.4,-,63.28,$4.06 ,,,166.6
62,Russell Wilson,SEA,QB,64.73,-,64.99,-,-,67.43,$11.70 ,,,242.82
63,Michael Thomas,NO,WR,78.24,-,66.52,-,-,70.56,$11.25 ,PUP-R,Ankle,0
64,Chase Edmonds,ARI,RB,64.73,-,67.9,54.8,-,69.85,$6.83 ,,,143.3
65,Jerry Jeudy,DEN,WR,73.43,-,69.37,-,-,64.41,$7.22 ,,,85
66,Odell Beckham,LAR,WR,68.12,-,69.52,-,-,71.36,$11.28 ,,,129.1
67,Justin Herbert,LAC,QB,69.11,-,69.74,-,42.4,70.32,$7.29 ,,,380.76
68,Aaron Rodgers,GB,QB,65.21,-,70.49,35,-,71.68,$13.46 ,,,333.3
69,Kenny Golladay,NYG,WR,68.43,-,71.31,-,-,74.85,$6.01 ,,,89.1
70,JuJu Smith-Schuster,PIT,WR,75.85,-,71.41,62,-,75.23,$6.55 ,,,
71,Robby Anderson,CAR,WR,76.82,-,75.22,84.2,-,75.27,$4.94 ,,,
72,Raheem Mostert,SF,RB,69.36,-,75.75,-,-,77.65,$7.13 ,IR,Knee - Meniscus,
73,Darrell Henderson,LAR,RB,68.02,-,76.94,-,-,74.69,$8.68 ,,,
74,Tom Brady,FA,QB,80.86,-,77.45,30,-,79.06,$7.76 ,,,374.74
75,Courtland Sutton,DEN,WR,82.15,-,77.83,80.6,57.4,73.17,$4.31 ,,,
76,Tyler Boyd,CIN,WR,81.97,-,79.35,102.4,-,81.3,$5.21 ,,,
77,Trey Sermon,SF,RB,85.55,-,79.41,-,-,71.9,$6.94 ,,,
78,Damien Harris,NE,RB,74.73,-,82.89,-,-,79.43,$8.95 ,,,
79,DeVonta Smith,PHI,WR,67.47,-,83.03,87.6,70.6,81.64,$5.93 ,,,
80,Melvin Gordon,DEN,RB,83.43,-,83.41,62.2,-,90.67,$6.92 ,,,
81,DJ Chark,JAX,WR,83.42,-,83.97,107.8,-,85.85,$1.77 ,IR,Ankle,
82,Deebo Samuel,SF,WR,82.78,-,85.03,-,-,77.83,$3.53 ,,,
83,Michael Carter,NYJ,RB,85.21,-,87.73,-,-,85.72,$5.25 ,,,
84,Laviska Shenault,JAX,WR,97.05,-,89.15,-,-,91.45,$2.37 ,,,
85,Matthew Stafford,LAR,QB,93.76,-,89.42,50.4,55.2,87.79,$5.54 ,,,329.74
86,Antonio Brown,FA,WR,88,-,89.62,55.6,-,82.57,$4.96 ,Ques,Ankle,
87,Ronald Jones,TB,RB,86.86,-,91.2,86.6,-,101.04,$4.92 ,Ques,Ankle,
88,Logan Thomas,WAS,TE,90,-,92.38,92.4,-,85.51,$4.81 ,IR,Knee - ACL,
89,Brandin Cooks,HOU,WR,94.19,-,94.67,-,-,93.07,$5.62 ,Ques,Knee,
90,Jalen Hurts,PHI,QB,99.23,-,95.2,-,-,96.25,$3.69 ,Ques,Ankle,312.16
91,AJ Dillon,GB,RB,97.46,-,95.34,-,-,97.14,$3.59 ,Ques,Ribs,
92,J.K. Dobbins,BAL,RB,999,-,96.2,-,-,98.8,$5.61 ,IR,Knee - ACL,
93,Ryan Tannehill,TEN,QB,98.68,16.6,97.29,-,-,98.04,$3.47 ,,,268.36
94,Dallas Goedert,PHI,TE,104.16,-,98.04,104.2,-,94.47,$1.76 ,,,
95,Noah Fant,DEN,TE,86.49,-,98.05,-,-,92.43,$3.09 ,,,
96,Leonard Fournette,TB,RB,90.91,-,99.41,-,-,106.09,$6.93 ,,,
97,Will Fuller,MIA,WR,102.62,-,99.66,156.6,-,105.63,$2.82 ,IR,Finger,
98,Jarvis Landry,CLE,WR,92.61,-,102.9,78.4,-,108.46,$5.64 ,,,
